"","participant","market_center","date","ticker","order_type","order_size","total_orders","total_shrs","cancelled_shrs","mc_exec_shrs","away_exec_shrs","shrs_0to9sec","shrs_10to29sec","shrs_30to59sec","shrs_60to299sec","shrs_5to30min","avg_realzd_spread","avg_effec_spread","px_improved_shrs","px_improved_avg_amt","px_improved_avg_secs","at_quote_shrs","at_quote_avg_secs","outside_quote_shrs","outside_quote_avg_amt","outside_quote_avg_sec","in_sp500","in_r1000","on_nyse","on_nasdaq","on_amex","mcaway_exec_shrs","net_pi_numerator","net_pi_mcaway","avg_quoted_spread_mcaway","effective_over_quoted_mcaway","eoq_wgt"
"168","T","TCDRG","202212","AEF","mkt_ordr","100-499",44,9833,0,9833,0,9833,0,0,0,0,0.0139,0.0122,9209,0.0067,0,524,0,100,0.0099,0,FALSE,FALSE,FALSE,FALSE,FALSE,9833,6071.03,0.617413810637649,2.4548276212753,0.496979905809518,24138.32
"169","T","TCDRG","202212","AEFC","mkt_ordr","100-499",115,27846,0,27846,0,27846,0,0,0,0,0.0269,0.04,26408,0.0195,0,1438,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,27846,51495.6,1.84929971988796,7.69859943977591,0.519575025469364,214375.2
"170","T","TCDRG","202212","AEG","mkt_ordr","100-499",189,45241,0,45241,0,45241,0,0,0,0,1e-04,4e-04,44658,0.0049,0,583,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,45241,21882.42,0.483685594924957,1.00737118984991,0.0397073098804419,45574.48
"171","T","TCDRG","202212","AEHA","mkt_ordr","100-499",1,100,0,100,0,100,0,0,0,0,0.08,0.08,100,0.01,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,100,100,1,10,0.8,1000
"172","T","TCDRG","202212","AEHL","mkt_ordr","100-499",21,3625,0,3625,0,3625,0,0,0,0,0.0094,0.0164,3345,8e-04,0,280,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,3625,267.6,0.0738206896551724,1.78764137931034,0.917409956482825,6480.2
"173","T","TCDRG","202212","AEHR","mkt_ordr","100-499",2051,391753,380,391373,0,391373,0,0,0,0,0.0147,0.0255,380337,0.0316,0,9204,0,1832,0.0305,0,FALSE,FALSE,FALSE,TRUE,FALSE,391373,1196277.32,3.0566168846599,8.66323376931981,0.294347361262562,3390555.79
"174","T","TCDRG","202212","AEI","mkt_ordr","100-499",126,28559,0,28559,0,28559,0,0,0,0,0.0019,0.016,24597,0.0026,0,3763,0,199,0.01,0,FALSE,FALSE,FALSE,FALSE,FALSE,28559,6196.22,0.216962078504149,2.0339241570083,0.786656667844214,58086.84
"175","T","TCDRG","202212","AEIS","mkt_ordr","100-499",97,18199,0,18199,0,18199,0,0,0,0,0.1852,0.1643,18199,0.0852,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,18199,155055.48,8.52,33.47,0.490887361816552,609120.53
"176","T","TCDRG","202212","AEL","mkt_ordr","100-499",117,20401,0,20401,0,20401,0,0,0,0,-0.0016,0.0124,20401,0.0347,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,20401,70791.47,3.47,8.18,0.15158924205379,166880.18
"177","T","TCDRG","202212","AEL A","mkt_ordr","100-499",66,11710,0,11710,0,11710,0,0,0,0,0.1883,0.1899,11689,0.0388,0,0,0,21,0.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,11710,45143.32,3.85510845431255,26.7002169086251,0.711230177080156,312659.54
